zip,mean_travel_time
60601,45.8
60602,0
60603,32.9
60604,0
60605,0
60606,0
60607,36.5
60608,38.5
60609,44.5
60610,28.7
60611,28.8
60612,40
60613,40.3
60615,37.4
60616,37.1
60618,43.5
60619,57.4
60620,55.2
60621,0
60622,34.9
60623,50.2
60624,0
60625,46.5
60626,46.9
60628,62.5
60629,49.3
60632,42.9
60633,0
60636,0
60637,47.5
60638,54.4
60639,50
60641,49.7
60642,29.2
60643,53.4
60644,52.1
60645,48.9
60647,37.9
60651,48.6
60652,64.9
60653,47
60654,34.3
60655,57.2
60657,36.2
60659,54.3
60660,46.4
60661,39.7
60707,43.2
60827,60.7
