year,category,annual_average_ridership
2001,bus,967281.9294
2001,rail,604580.6745
2001,total,1571862.604
2002,bus,972439.6863
2002,rail,596888.0667
2002,total,1569327.753
2003,bus,936473.5176
2003,rail,596164.651
2003,total,1532638.169
2004,bus,935057.2218
2004,rail,582843.6265
2004,total,1517900.848
2005,bus,969244.7412
2005,rail,608156.5255
2005,total,1577401.267
2006,bus,956989.685
2006,rail,635438.8858
2006,total,1592428.571
2007,bus,986595.4824
2007,rail,619765.6039
2007,total,1606361.086
2008,bus,1037334.109
2008,rail,641783.2813
2008,total,1679117.391
2009,bus,1008513.408
2009,rail,649440.302
2009,total,1657953.71
2010,bus,973061.8203
2010,rail,671260.7148
2010,total,1644322.535
2011,bus,988883.9711
2011,rail,707752.1913
2011,total,1696636.162
2012,bus,994372.4706
2012,rail,731242.4235
2012,total,1725614.894
2013,bus,957032.9333
2013,rail,725180.3647
2013,total,1682213.298
2014,bus,870067.9631
2014,rail,749196.4329
2014,total,1619264.396
2015,bus,869955.913
2015,rail,766888.2935
2015,total,1636844.207
2016,bus,826322.1922
2016,rail,759866.2157
2016,total,1586188.408
2017,bus,893769.9823
2017,rail,745210.3982
2017,total,1638980.38
2018,bus,778638.8549
2018,rail,728642.6667
2018,total,1507281.522
2019,bus,760871.7362
2019,rail,701901.544
2019,total,1462773.28
2020,bus,479135.6441
2020,rail,359450.3882
2020,total,838586.0324
2021,bus,366284.0433
2021,rail,235518.7087
2021,total,601802.752
2022,bus,424222.1824
2022,rail,297252.8649
2022,total,721475.0473
